2021-04-30 23:36:46 install linux-image-aws:amd64 <none> 5.4.0.1045.46
2021-04-30 23:36:46 status half-installed linux-image-aws:amd64 5.4.0.1045.46
2021-04-30 23:36:46 status unpacked linux-image-aws:amd64 5.4.0.1045.46
2021-04-30 23:36:47 install linux-aws-headers-5.4.0-1045:all <none> 5.4.0-1045.47
2021-04-30 23:36:47 status half-installed linux-aws-headers-5.4.0-1045:all 5.4.0-1045.47
2021-04-30 23:37:10 status unpacked linux-aws-headers-5.4.0-1045:all 5.4.0-1045.47
2021-04-30 23:37:10 install linux-headers-5.4.0-1045-aws:amd64 <none> 5.4.0-1045.47
2021-04-30 23:37:10 status half-installed linux-headers-5.4.0-1045-aws:amd64 5.4.0-1045.47
2021-04-30 23:37:19 status unpacked linux-headers-5.4.0-1045-aws:amd64 5.4.0-1045.47
2021-04-30 23:37:19 install linux-headers-aws:amd64 <none> 5.4.0.1045.46
2021-04-30 23:37:19 status half-installed linux-headers-aws:amd64 5.4.0.1045.46
2021-04-30 23:37:19 status unpacked linux-headers-aws:amd64 5.4.0.1045.46
2021-04-30 23:37:19 install linux-aws:amd64 <none> 5.4.0.1045.46
2021-04-30 23:37:19 status half-installed linux-aws:amd64 5.4.0.1045.46
2021-04-30 23:37:19 status unpacked linux-aws:amd64 5.4.0.1045.46
2021-04-30 23:37:19 startup packages configure
2021-04-30 23:37:19 configure iucode-tool:amd64 2.3.1-1 <none>
2021-04-30 23:37:19 status unpacked iucode-tool:amd64 2.3.1-1
2021-04-30 23:37:20 status half-configured iucode-tool:amd64 2.3.1-1
2021-04-30 23:37:20 status installed iucode-tool:amd64 2.3.1-1
2021-04-30 23:37:20 configure intel-microcode:amd64 3.20201110.0ubuntu0.20.04.2 <none>
2021-04-30 23:37:20 status unpacked intel-microcode:amd64 3.20201110.0ubuntu0.20.04.2
2021-04-30 23:37:20 status half-configured intel-microcode:amd64 3.20201110.0ubuntu0.20.04.2
2021-04-30 23:37:20 status installed intel-microcode:amd64 3.20201110.0ubuntu0.20.04.2
2021-04-30 23:37:20 status triggers-pending initramfs-tools:all 0.136ubuntu6.4
2021-04-30 23:37:20 configure linux-aws-headers-5.4.0-1045:all 5.4.0-1045.47 <none>
2021-04-30 23:37:20 status unpacked linux-aws-headers-5.4.0-1045:all 5.4.0-1045.47
2021-04-30 23:37:20 status half-configured linux-aws-headers-5.4.0-1045:all 5.4.0-1045.47
2021-04-30 23:37:20 status installed linux-aws-headers-5.4.0-1045:all 5.4.0-1045.47
2021-04-30 23:37:20 configure amd64-microcode:amd64 3.20191218.1ubuntu1 <none>
2021-04-30 23:37:20 status unpacked amd64-microcode:amd64 3.20191218.1ubuntu1
2021-04-30 23:37:20 status half-configured amd64-microcode:amd64 3.20191218.1ubuntu1
2021-04-30 23:37:20 status installed amd64-microcode:amd64 3.20191218.1ubuntu1
2021-04-30 23:37:20 configure microcode-initrd:amd64 2~20.04.0 <none>
2021-04-30 23:37:20 status unpacked microcode-initrd:amd64 2~20.04.0
2021-04-30 23:37:20 status half-configured microcode-initrd:amd64 2~20.04.0
2021-04-30 23:37:22 status installed microcode-initrd:amd64 2~20.04.0
2021-04-30 23:37:22 configure linux-headers-5.4.0-1045-aws:amd64 5.4.0-1045.47 <none>
2021-04-30 23:37:22 status unpacked linux-headers-5.4.0-1045-aws:amd64 5.4.0-1045.47
2021-04-30 23:37:22 status half-configured linux-headers-5.4.0-1045-aws:amd64 5.4.0-1045.47
2021-04-30 23:37:22 status installed linux-headers-5.4.0-1045-aws:amd64 5.4.0-1045.47
2021-04-30 23:37:22 configure linux-modules-5.4.0-1045-aws:amd64 5.4.0-1045.47 <none>
2021-04-30 23:37:22 status unpacked linux-modules-5.4.0-1045-aws:amd64 5.4.0-1045.47
2021-04-30 23:37:22 status half-configured linux-modules-5.4.0-1045-aws:amd64 5.4.0-1045.47
2021-04-30 23:37:25 status installed linux-modules-5.4.0-1045-aws:amd64 5.4.0-1045.47
2021-04-30 23:37:25 configure linux-image-5.4.0-1045-aws:amd64 5.4.0-1045.47 <none>
2021-04-30 23:37:25 status unpacked linux-image-5.4.0-1045-aws:amd64 5.4.0-1045.47
2021-04-30 23:37:25 status half-configured linux-image-5.4.0-1045-aws:amd64 5.4.0-1045.47
2021-04-30 23:37:26 status installed linux-image-5.4.0-1045-aws:amd64 5.4.0-1045.47
2021-04-30 23:37:26 status triggers-pending linux-image-5.4.0-1045-aws:amd64 5.4.0-1045.47
2021-04-30 23:37:26 configure linux-headers-aws:amd64 5.4.0.1045.46 <none>
2021-04-30 23:37:26 status unpacked linux-headers-aws:amd64 5.4.0.1045.46
2021-04-30 23:37:26 status half-configured linux-headers-aws:amd64 5.4.0.1045.46
2021-04-30 23:37:26 status installed linux-headers-aws:amd64 5.4.0.1045.46
2021-04-30 23:37:26 configure linux-image-aws:amd64 5.4.0.1045.46 <none>
2021-04-30 23:37:26 status unpacked linux-image-aws:amd64 5.4.0.1045.46
2021-04-30 23:37:26 status half-configured linux-image-aws:amd64 5.4.0.1045.46
2021-04-30 23:37:26 status installed linux-image-aws:amd64 5.4.0.1045.46
2021-04-30 23:37:26 configure linux-aws:amd64 5.4.0.1045.46 <none>
2021-04-30 23:37:26 status unpacked linux-aws:amd64 5.4.0.1045.46
2021-04-30 23:37:26 status half-configured linux-aws:amd64 5.4.0.1045.46
2021-04-30 23:37:26 status installed linux-aws:amd64 5.4.0.1045.46
2021-04-30 23:37:26 trigproc man-db:amd64 2.9.1-1 <none>
2021-04-30 23:37:26 status half-configured man-db:amd64 2.9.1-1
2021-04-30 23:37:26 status installed man-db:amd64 2.9.1-1
2021-04-30 23:37:26 trigproc initramfs-tools:all 0.136ubuntu6.4 <none>
2021-04-30 23:37:26 status half-configured initramfs-tools:all 0.136ubuntu6.4
2021-04-30 23:37:27 status installed initramfs-tools:all 0.136ubuntu6.4
2021-04-30 23:37:27 trigproc linux-image-5.4.0-1045-aws:amd64 5.4.0-1045.47 <none>
2021-04-30 23:37:27 status half-configured linux-image-5.4.0-1045-aws:amd64 5.4.0-1045.47
2021-04-30 23:37:59 status installed linux-image-5.4.0-1045-aws:amd64 5.4.0-1045.47
2021-04-30 23:38:15 startup archives unpack
2021-04-30 23:38:15 install hibagent:all <none> 1.0.1-0ubuntu1
2021-04-30 23:38:15 status half-installed hibagent:all 1.0.1-0ubuntu1
2021-04-30 23:38:15 status triggers-pending systemd:amd64 245.4-4ubuntu3.6
2021-04-30 23:38:15 status unpacked hibagent:all 1.0.1-0ubuntu1
2021-04-30 23:38:15 startup packages configure
